Nota Fiscal,Detalhes,Data Venda,Quantidade,Custo da Venda,Valor da Venda,Lucro,Local Vendas,Produto,Marca
NT000146,,15/03/2022,1,"5687,973598","7462,092779","1774,11918",E-commerce,Galaxy S20 FE,Samsung
NT000147,,01/01/2022,1,"5285,269194","6730,827047","1445,557853",E-commerce,Galaxy S20 FE,Samsung
NT000148,,26/11/2022,1,"4652,75978","5978,163628","1325,403848",E-commerce,Galaxy S20 FE,Samsung
,,,,,,,,,
,,,,,,,,,
NT000151,,11/09/2022,1,"5710,626649","6963,870273","1253,243623",E-commerce,Galaxy S20 FE,Samsung
NT000152,,01/09/2022,1,"6009,157211","7079,501762","1070,344551",E-commerce,Galaxy S20 FE,Samsung
NT000153,,19/01/2022,1,"3587,664103","4353,687854","766,0237508",E-commerce,Galaxy S20 FE,Samsung
NT000154,,26/07/2022,1,"3302,624935","4118,450261","815,8253262",E-commerce,Galaxy S20 FE,Samsung
NT000155,,10/07/2022,1,"2856,968967","3686,695348","829,7263807",E-commerce,Galaxy S20 FE,Samsung
NT000156,,21/07/2022,1,"5508,380942","7424,682779","1916,301837",E-commerce,Galaxy S20 FE,Samsung
NT000157,,07/08/2022,1,"6255,298172","8240,166606","1984,868435",E-commerce,Galaxy S20 FE,Samsung
NT000158,,24/03/2022,1,"3270,120821","4342,256686","1072,135865",E-commerce,Galaxy S20 FE,Samsung
NT000159,,09/01/2022,1,"5578,138545","7280,455336","1702,316791",E-commerce,Galaxy S20 FE,Samsung
NT000160,,19/03/2022,1,"3302,458834","3913,23179","610,7729562",E-commerce,Galaxy S20 FE,Samsung
NT000161,,10/06/2022,1,"4674,09463","5931,347676","1257,253046",E-commerce,Galaxy S20 FE,Samsung
NT000162,,22/02/2022,1,"3511,436702","4012,0358","500,5990988",E-commerce,Galaxy S20 FE,Samsung
NT000163,,03/04/2022,1,"3113,979326","4065,165575","951,186249",E-commerce,Galaxy S20 FE,Samsung
NT000164,,05/06/2022,1,"3140,002505","4351,812332","1211,809827",E-commerce,Galaxy S20 FE,Samsung
NT000165,,11/03/2022,1,"5938,296975","7574,358371","1636,061396",E-commerce,Galaxy S20 FE,Samsung
NT000166,,14/03/2022,1,"5009,915713","6813,767793","1803,85208",E-commerce,Galaxy S20 FE,Samsung
NT000167,,25/02/2022,1,"3587,297108","4401,858141","814,5610328",E-commerce,Galaxy S20 FE,Samsung
NT000168,,01/03/2022,1,"5165,916581","6810,251942","1644,335361",E-commerce,Galaxy S20 FE,Samsung
NT000169,,14/06/2022,1,"2447,487417","2788,408914","340,9214969",E-commerce,Galaxy S20 FE,Samsung
NT000170,,13/04/2022,1,"3980,024559","4898,003041","917,9784818",E-commerce,Galaxy S20 FE,Samsung
NT000171,,27/11/2022,1,"3016,44427","3308,630991","292,1867212",E-commerce,Galaxy S20 FE,Samsung
NT000172,,11/10/2022,1,"3340,098631","3924,252904","584,1542724",E-commerce,Galaxy S20 FE,Samsung
NT000173,,19/09/2022,1,"5424,883333","5967,866456","542,9831227",E-commerce,Galaxy S20 FE,Samsung
NT000174,,08/07/2022,1,"5169,631165","6556,402589","1386,771424",E-commerce,Galaxy S20 FE,Samsung
NT000175,,04/10/2022,1,"5299,021084","6450,480221","1151,459137",E-commerce,Galaxy S20 FE,Samsung
NT000176,,07/01/2022,1,"3086,085866","3456,470544","370,3846775",E-commerce,Galaxy S20 FE,Samsung
NT000177,,14/07/2022,1,"4986,047315","5813,909978","827,8626633",E-commerce,Galaxy S20 FE,Samsung
NT000178,,03/04/2022,1,"4977,580297","6690,087089","1712,506793",E-commerce,Galaxy S20 FE,Samsung
NT000179,,11/04/2022,1,"2565,314913","2815,185964","249,8710503",E-commerce,Galaxy S20 FE,Samsung
NT000180,,23/04/2022,1,"3172,797816","3930,046122","757,2483059",E-commerce,Galaxy S20 FE,Samsung
NT000181,,14/11/2022,1,"3520,815384","4140,901507","620,0861229",E-commerce,Galaxy S20 FE,Samsung
NT000182,,24/09/2022,1,"5418,927442","7008,015658","1589,088216",E-commerce,Galaxy S20 FE,Samsung
NT000183,,23/02/2022,1,"4891,605773",0,"1741,947515",E-commerce,Galaxy S20 FE,Samsung
NT000184,,11/03/2022,1,"6099,170017","7658,007592","1558,837574",E-commerce,Galaxy S20 FE,Samsung
NT000185,,25/03/2022,1,"3436,881716","3795,55664","358,6749247",E-commerce,Galaxy S20 FE,Samsung
NT000186,,16/02/2022,1,"4058,887387","5494,609496","1435,722109",E-commerce,Galaxy S20 FE,Samsung
NT000187,,19/11/2022,1,"2833,192385","3177,824451","344,6320655",E-commerce,Galaxy S20 FE,Samsung
NT000188,,01/05/2022,1,"5306,850018","6724,518946","1417,668928",E-commerce,Galaxy S20 FE,Samsung
NT000189,,06/07/2022,1,"3244,533847","4096,485848","851,9520008",E-commerce,Galaxy S20 FE,Samsung
NT000190,,28/11/2022,1,"4901,322424","5807,664665","906,3422406",E-commerce,Galaxy S20 FE,Samsung
NT000191,,16/06/2022,1,"2822,444517","3718,511666","896,0671482",E-commerce,Galaxy S20 FE,Samsung
NT000192,,11/05/2022,1,"3204,526762","3663,639992","459,1132293",E-commerce,Galaxy S20 FE,Samsung
NT000193,,10/03/2022,1,"5219,327298","6461,271756","1241,944458",E-commerce,Galaxy S20 FE,Samsung
NT000194,,09/11/2022,1,"5083,595525","6390,715141","1307,119617",E-commerce,Galaxy S20 FE,Samsung
NT000195,,30/07/2022,1,"6169,830704","7968,010195","1798,17949",E-commerce,Galaxy S20 FE,Samsung
NT000196,,21/09/2022,1,"3783,583954","5233,63648","1450,052525",E-commerce,Galaxy S20 FE,Samsung
NT000197,,28/07/2022,1,"3830,609836","4680,54005","849,930214",E-commerce,Galaxy S20 FE,Samsung
NT000198,,02/11/2022,1,"2229,245505","2981,11959","751,8740848",E-commerce,Galaxy S20 FE,Samsung
NT000199,,26/08/2022,1,"4095,735644","5286,233919","1190,498275",E-commerce,Galaxy S20 FE,Samsung
NT000200,,19/08/2022,1,"5192,603066","6851,885409","1659,282343",E-commerce,Galaxy S20 FE,Samsung
NT000201,,18/05/2022,1,"5822,812081","7444,767713","1621,955632",E-commerce,Galaxy S20 FE,Samsung
NT000202,,27/11/2022,1,"2997,813655","3374,405604","376,5919495",E-commerce,Galaxy S20 FE,Samsung
NT000203,,08/06/2022,1,"4781,624107","5506,341465","724,7173578",E-commerce,Galaxy S20 FE,Samsung
NT000204,,29/06/2022,1,"6155,343898","6766,552445","611,2085466",E-commerce,Galaxy S20 FE,Samsung
NT000205,,25/09/2022,1,"5972,5071","7324,825644","1352,318544",E-commerce,Galaxy S20 FE,Samsung
NT000206,,07/11/2022,1,"3376,385617","4113,232649","736,8470312",E-commerce,Galaxy S20 FE,Samsung
NT000207,,12/05/2022,1,"5182,089486","6596,110944","1414,021458",E-commerce,Galaxy S20 FE,Samsung
NT000208,,09/01/2022,1,"3982,987346","4359,175632","376,1882868",E-commerce,Galaxy S20 FE,Samsung
NT000209,,21/05/2022,1,"3725,858522","4871,845257","1145,986735",E-commerce,Galaxy S20 FE,Samsung
NT000210,,26/03/2022,1,"4306,774774","5276,087172","969,312398",E-commerce,Galaxy S20 FE,Samsung
NT000211,,23/08/2022,1,"4957,075059","6016,334024","1059,258964",E-commerce,Galaxy S20 FE,Samsung
NT000212,,21/10/2022,1,"2426,2719","3103,016528","676,7446278",E-commerce,Galaxy S20 FE,Samsung
NT000213,,24/04/2022,1,"3892,760658","4979,202984","1086,442326",E-commerce,Galaxy S20 FE,Samsung
NT000214,,25/06/2022,1,"4318,018049","5108,357157","790,3391076",E-commerce,Galaxy S20 FE,Samsung
NT000215,,17/06/2022,1,"3603,635447","4338,120695","734,4852475",E-commerce,Galaxy S20 FE,Samsung
NT000216,,13/08/2022,1,"3122,720053","4086,943341","964,2232878",E-commerce,Galaxy S20 FE,Samsung
NT000217,,31/05/2022,1,"6220,752379","7516,020442","1295,268063",E-commerce,Galaxy S20 FE,Samsung
NT000218,,03/10/2022,1,"2273,746091","2583,606138","309,8600472",E-commerce,Galaxy S20 FE,Samsung
NT000219,,12/08/2022,1,"3954,799643","5057,498707","1102,699064",E-commerce,Galaxy S20 FE,Samsung
NT000220,,29/07/2022,1,"5805,112835","6919,646533","1114,533697",E-commerce,Galaxy S20 FE,Samsung
NT000221,,13/06/2022,1,"2321,171075","2916,944365","595,7732899",E-commerce,Galaxy S20 FE,Samsung
NT000222,,31/07/2022,1,"6051,577253","6988,094934","936,517681",E-commerce,Galaxy S20 FE,Samsung
NT000223,,20/09/2022,1,"2442,836029","3275,868162","833,0321334",E-commerce,Galaxy S20 FE,Samsung
NT000224,,27/03/2022,1,"3999,373239","4855,095059","855,7218197",E-commerce,Galaxy S20 FE,Samsung
NT000225,,13/07/2022,1,"2756,729379","3714,857806","958,1284265",E-commerce,Galaxy S20 FE,Samsung
NT000226,,09/10/2022,1,"4221,57787","5340,482294","1118,904424",E-commerce,Galaxy S20 FE,Samsung
NT000227,,18/07/2022,1,"6092,009713","7128,108271","1036,098559",E-commerce,Galaxy S20 FE,Samsung
NT000228,,30/08/2022,1,"5592,236334","6593,439916","1001,203581",E-commerce,Galaxy S20 FE,Samsung
NT000229,,13/06/2022,1,"2394,192429","3245,754249","851,5618197",E-commerce,Galaxy S20 FE,Samsung
NT000230,,17/06/2022,1,"5280,09063","6896,929828","1616,839198",E-commerce,Galaxy S20 FE,Samsung
NT000231,,05/04/2022,1,"4477,245641","5498,829638","1021,583997",E-commerce,Galaxy S20 FE,Samsung
NT000232,,13/10/2022,1,"3081,192783","4174,054319","1092,861536",E-commerce,Galaxy S20 FE,Samsung
NT000233,,18/05/2022,1,"2400,532752",0,"257,3070409",E-commerce,Galaxy S20 FE,Samsung
NT000234,,12/06/2022,1,"5576,604244","6502,864266","926,2600221",E-commerce,Galaxy S20 FE,Samsung
NT000235,,09/05/2022,1,"3833,402534","5258,168847","1424,766313",E-commerce,Galaxy S20 FE,Samsung
NT000236,,13/05/2022,1,"3672,774388","4752,400046","1079,625657",E-commerce,Galaxy S20 FE,Samsung
NT000237,,05/09/2022,1,"5687,865117","6635,972828","948,1077104",E-commerce,Galaxy S20 FE,Samsung
NT000238,,30/10/2022,1,"5416,255235","6454,024965","1037,76973",E-commerce,Galaxy S20 FE,Samsung
NT000239,,16/09/2022,1,"3493,321773","4248,649011","755,3272372",E-commerce,Galaxy S20 FE,Samsung
NT000240,,19/01/2022,1,"2386,197909","2915,895043","529,6971338",E-commerce,Galaxy S20 FE,Samsung
NT000241,,28/06/2022,1,"5772,222811","7818,884951","2046,66214",E-commerce,Galaxy S20 FE,Samsung
NT000242,,19/07/2022,1,"2230,363226","2843,540997","613,1777708",E-commerce,Galaxy S20 FE,Samsung
NT000243,,15/05/2022,1,"2585,935269","3022,727437","436,7921677",E-commerce,Galaxy S20 FE,Samsung
NT000244,,18/11/2022,1,"4316,424133","5042,337435","725,9133014",E-commerce,Galaxy S20 FE,Samsung
NT000245,,17/05/2022,1,"3929,470603","5017,052604","1087,582001",E-commerce,Galaxy S20 FE,Samsung
NT000246,,30/07/2022,1,"6126,084016","8305,077336","2178,99332",E-commerce,Galaxy S20 FE,Samsung
NT000247,,30/06/2022,1,"4706,958535","6106,171174","1399,21264",E-commerce,Galaxy S20 FE,Samsung
NT000248,,09/03/2022,1,"3537,67902","4608,841981","1071,162961",E-commerce,Galaxy S20 FE,Samsung
NT000249,,05/08/2022,1,"3259,43979","3636,088729","376,6489392",E-commerce,Galaxy S20 FE,Samsung
NT000250,,19/02/2022,1,"3248,529611","4374,308322","1125,778711",E-commerce,Galaxy S20 FE,Samsung
NT000251,,12/07/2022,1,"4387,466553","5077,181068","689,7145156",E-commerce,Galaxy S20 FE,Samsung
NT000252,,13/04/2022,1,"3502,467707","4842,932994","1340,465287",E-commerce,Galaxy S20 FE,Samsung
NT000253,,12/09/2022,1,"2878,402811","3748,31976","869,9169487",E-commerce,Galaxy S20 FE,Samsung
NT000254,,06/06/2022,1,"3950,954163","4354,077142","403,1229792",E-commerce,Galaxy S20 FE,Samsung
NT000255,,23/03/2022,1,"4197,210572",0,"1552,370586",E-commerce,Galaxy S20 FE,Samsung
NT000256,,19/03/2022,1,"4093,697683","4769,477728","675,7800446",E-commerce,Galaxy S20 FE,Samsung
NT000257,,19/08/2022,1,"3419,131367","3899,119039","479,9876718",E-commerce,Galaxy S20 FE,Samsung
NT000258,,20/09/2022,1,"5173,899576","6694,819986","1520,92041",E-commerce,Galaxy S20 FE,Samsung
NT000259,,14/08/2022,1,"2497,279156","2907,517364","410,2382076",E-commerce,Galaxy S20 FE,Samsung
NT000260,,23/09/2022,1,"5533,92885","7086,306","1552,377151",E-commerce,Galaxy S20 FE,Samsung
NT000261,,16/09/2022,1,"2661,155548","3232,428833","571,2732857",E-commerce,Galaxy S20 FE,Samsung
NT000262,,21/03/2022,1,"2456,685856","3088,575588","631,8897318",E-commerce,Galaxy S20 FE,Samsung
NT000263,,24/06/2022,1,"4572,172295","5658,923967","1086,751673",E-commerce,Galaxy S20 FE,Samsung
NT000264,,23/09/2022,1,"6154,534848","6978,473633","823,9387849",E-commerce,Galaxy S20 FE,Samsung
NT000265,,23/08/2022,1,"2617,153332","3243,961641","626,8083093",E-commerce,Galaxy S20 FE,Samsung
NT000266,,16/09/2022,1,"4111,790434","5644,06433","1532,273896",E-commerce,Galaxy S20 FE,Samsung
NT000267,,22/03/2022,1,"5029,179714","5635,471832","606,2921186",E-commerce,Galaxy S20 FE,Samsung
NT000268,,14/03/2022,1,"4728,453375","6365,482678","1637,029303",E-commerce,Galaxy S20 FE,Samsung
NT000269,,25/05/2022,1,"3668,713199","4261,646915","592,9337155",E-commerce,Galaxy S20 FE,Samsung
NT000270,,30/07/2022,1,"5757,559377","7424,425081","1666,865704",E-commerce,Galaxy S20 FE,Samsung
NT000271,,17/09/2022,1,"3250,586703","4299,220448","1048,633745",E-commerce,Galaxy S20 FE,Samsung
NT000272,,15/07/2022,1,"2703,90151","3068,707791","364,806281",E-commerce,Galaxy S20 FE,Samsung
NT000273,,06/08/2022,1,"5830,812293","7567,848746","1737,036453",E-commerce,Galaxy S20 FE,Samsung
NT000274,,27/11/2022,1,"3146,440391","4265,271996","1118,831605",E-commerce,Galaxy S20 FE,Samsung
NT000275,,19/03/2022,1,"3940,771995","4806,460824","865,6888286",E-commerce,Galaxy S20 FE,Samsung
NT000276,,13/09/2022,1,"2551,875352","2940,750501","388,875149",E-commerce,Galaxy S20 FE,Samsung
NT000277,,02/03/2022,1,"4423,739612","5809,44255","1385,702938",E-commerce,Galaxy S20 FE,Samsung
NT000278,,13/05/2022,1,"3618,381158","3956,999367","338,6182087",E-commerce,Galaxy S20 FE,Samsung
NT000279,,02/08/2022,1,"4646,709713","6423,091175","1776,381462",E-commerce,Galaxy S20 FE,Samsung
NT000280,,16/10/2022,1,"2775,368439","3226,043275","450,6748361",E-commerce,Galaxy S20 FE,Samsung
NT000281,,08/02/2022,1,"4129,512566","5477,108801","1347,596235",E-commerce,Galaxy S20 FE,Samsung
NT000282,,17/02/2022,1,"4299,777055","5510,076105","1210,29905",E-commerce,Galaxy S20 FE,Samsung
NT000283,,28/04/2022,1,"3614,255329","4537,819711","923,5643822",E-commerce,Galaxy S20 FE,Samsung
NT000284,,25/02/2022,1,"4982,273023","6232,097076","1249,824054",E-commerce,Galaxy S20 FE,Samsung
NT000285,,22/03/2022,1,"4656,310478","5101,523228","445,21275",E-commerce,Galaxy S20 FE,Samsung
NT000286,,28/08/2022,1,"2386,357108","3309,992876","923,6357675",E-commerce,Galaxy S20 FE,Samsung
NT000287,,15/05/2022,1,"4971,595891","6675,896826","1704,300935",E-commerce,Galaxy S20 FE,Samsung
NT000288,,19/03/2022,1,"4634,532969","5408,641034","774,1080652",E-commerce,Galaxy S20 FE,Samsung
NT000289,,28/11/2022,1,"6078,126573","7911,481121","1833,354548",E-commerce,Galaxy S20 FE,Samsung
NT000290,,01/02/2022,1,"5298,749583","6094,745217","795,9956341",E-commerce,Galaxy S20 FE,Samsung
NT000291,,24/04/2022,1,"3422,145183","3971,158708","549,0135257",E-commerce,Galaxy S20 FE,Samsung
NT000292,,22/06/2022,1,"4663,757984","5316,921401","653,1634173",E-commerce,Galaxy S20 FE,Samsung
NT000293,,10/05/2022,1,"3755,515429","4119,019978","363,5045489",E-commerce,Galaxy S20 FE,Samsung
NT000294,,02/07/2022,1,"4050,193551","5287,412288","1237,218737",E-commerce,Galaxy S20 FE,Samsung
NT000295,,08/08/2022,1,"5629,714697","6448,289742","818,5750454",E-commerce,Galaxy S20 FE,Samsung
NT000296,,27/03/2022,1,"4794,225266","6564,773749","1770,548483",E-commerce,Galaxy S20 FE,Samsung
NT000297,,02/06/2022,1,"5716,894425","7474,877295","1757,98287",E-commerce,Galaxy S20 FE,Samsung
NT000298,,20/11/2022,1,"2536,081145","3287,088987","751,0078421",E-commerce,Galaxy S20 FE,Samsung
NT000299,,22/05/2022,1,"3539,953607","4142,637421","602,6838135",E-commerce,Galaxy S20 FE,Samsung
NT000300,,13/05/2022,1,"3386,023883","4658,254163","1272,230281",E-commerce,Galaxy S20 FE,Samsung
NT000301,,24/09/2022,1,"6202,980487","8364,857071","2161,876585",E-commerce,Galaxy S20 FE,Samsung
NT000302,,21/10/2022,1,"5072,955339","6194,666137","1121,710798",E-commerce,Galaxy S20 FE,Samsung
NT000303,,26/11/2022,1,"5116,035576","6523,723631","1407,688056",E-commerce,Galaxy S20 FE,Samsung
NT000304,,24/04/2022,1,"2967,091427","3263,881359","296,789932",E-commerce,Galaxy S20 FE,Samsung
NT000305,,16/01/2022,1,"2966,381638","4012,641508","1046,259871",E-commerce,Galaxy S20 FE,Samsung
NT000306,,14/04/2022,1,"5582,14477","7228,063775","1645,919005",E-commerce,Galaxy S20 FE,Samsung
NT000307,,13/04/2022,1,"5337,111747","7307,661668","1970,549921",E-commerce,Galaxy S20 FE,Samsung
NT000308,,02/05/2022,1,"4844,280715","6436,604425","1592,32371",E-commerce,Galaxy S20 FE,Samsung
NT000309,,16/02/2022,1,"4610,72467","5787,077936","1176,353266",E-commerce,Galaxy S20 FE,Samsung
NT000310,,18/03/2022,1,"2867,115872","3786,075143","918,9592714",E-commerce,Galaxy S20 FE,Samsung
NT000311,,20/05/2022,1,"4078,317513","5472,073544","1393,756031",E-commerce,Galaxy S20 FE,Samsung
NT000312,,03/08/2022,1,"3774,20621","4149,331894","375,1256834",E-commerce,Galaxy S20 FE,Samsung
NT000313,,21/09/2022,1,"5089,339534","6073,1729","983,8333661",E-commerce,Galaxy S20 FE,Samsung
NT000314,,07/08/2022,1,"2843,281549","3276,227598","432,9460492",E-commerce,Galaxy S20 FE,Samsung
NT000315,,23/10/2022,1,"3333,312138","4009,566112","676,2539738",E-commerce,Galaxy S20 FE,Samsung
NT000316,,06/03/2022,1,"2885,069358","3580,796657","695,7272994",E-commerce,Galaxy S20 FE,Samsung
NT000317,,11/04/2022,1,"5864,452551","6514,252064","649,7995125",E-commerce,Galaxy S20 FE,Samsung
NT000318,,25/04/2022,1,"5111,665877","6037,663848","925,9979706",E-commerce,Galaxy S20 FE,Samsung
NT000319,,06/05/2022,1,"2230,131821","2431,716043","201,5842215",E-commerce,Galaxy S20 FE,Samsung
NT000320,,02/05/2022,1,"3764,876086","4122,944131","358,0680444",E-commerce,Galaxy S20 FE,Samsung
NT000321,,08/04/2022,1,"4631,653907","6286,290523","1654,636617",E-commerce,Galaxy S20 FE,Samsung
NT000322,,19/09/2022,1,"5840,612229","6950,262556","1109,650327",E-commerce,Galaxy S20 FE,Samsung
NT000323,,27/02/2022,1,"3825,923418","5003,144474","1177,221056",E-commerce,Galaxy S20 FE,Samsung
NT000324,,29/06/2022,1,"5306,39798","6371,917416","1065,519437",E-commerce,Galaxy S20 FE,Samsung
NT000325,,12/03/2022,1,"4783,249596","5565,075002","781,8254056",E-commerce,Galaxy S20 FE,Samsung
NT000326,,11/03/2022,1,"3779,71777","4876,866331","1097,14856",E-commerce,Galaxy S20 FE,Samsung
NT000327,,24/08/2022,1,"2939,503143","3767,860763","828,3576201",E-commerce,Galaxy S20 FE,Samsung
NT000328,,09/04/2022,1,"3783,629969","4185,605335","401,9753665",E-commerce,Galaxy S20 FE,Samsung
NT000329,,14/07/2022,1,"5100,820485","6255,811236","1154,990751",E-commerce,Galaxy S20 FE,Samsung
NT000330,,06/09/2022,1,"2223,815432","2557,979615","334,1641829",E-commerce,Galaxy S20 FE,Samsung
NT000331,,26/03/2022,1,"4813,78193","6644,629029","1830,847098",E-commerce,Galaxy S20 FE,Samsung
NT000332,,05/05/2022,1,"5296,402778","6588,354933","1291,952155",E-commerce,Galaxy S20 FE,Samsung
NT000333,,02/11/2022,1,"3644,824274","4614,962062","970,1377872",E-commerce,Galaxy S20 FE,Samsung
NT000334,,03/05/2022,1,"3105,247088","3924,216473","818,9693847",E-commerce,Galaxy S20 FE,Samsung
NT000335,,08/04/2022,1,"2880,505562","3273,323682","392,8181204",E-commerce,Galaxy S20 FE,Samsung
NT000336,,30/03/2022,1,"4234,056597","4783,226758","549,1701615",E-commerce,Galaxy S20 FE,Samsung
NT000337,,20/04/2022,1,"3573,469488","4511,899262","938,4297734",E-commerce,Galaxy S20 FE,Samsung
NT000338,,01/08/2022,1,"4783,823057","6508,038728","1724,215671",E-commerce,Galaxy S20 FE,Samsung
NT000339,,02/05/2022,1,"3363,559119","3902,069058","538,5099393",E-commerce,Galaxy S20 FE,Samsung
NT000340,,14/04/2022,1,"3359,627595","3707,47023","347,8426349",E-commerce,Galaxy S20 FE,Samsung
NT000341,,22/08/2022,1,"4365,99887","5319,894683","953,8958132",E-commerce,Galaxy S20 FE,Samsung
NT000342,,06/05/2022,1,"5819,750741","7914,133293","2094,382552",E-commerce,Galaxy S20 FE,Samsung
NT000343,,12/11/2022,1,"6058,19013","6826,345196","768,1550657",E-commerce,Galaxy S20 FE,Samsung
NT000344,,07/01/2022,1,"3036,38197","3417,688485","381,3065158",E-commerce,Galaxy S20 FE,Samsung
NT000345,,08/08/2022,1,"5900,249416","7671,993678","1771,744262",E-commerce,Galaxy S20 FE,Samsung
NT000346,,25/06/2022,1,"4953,77477","5408,56617","454,7913997",E-commerce,Galaxy S20 FE,Samsung
NT000347,,03/12/2022,1,"5494,104645","7367,284175","1873,17953",E-commerce,Galaxy S20 FE,Samsung
NT000348,,22/08/2022,1,"2262,8755","3014,47979","751,6042895",E-commerce,Galaxy S20 FE,Samsung
NT000349,,15/10/2022,1,"3180,9319","4377,015863","1196,083963",E-commerce,Galaxy S20 FE,Samsung
NT000350,,17/03/2022,1,"5859,318176",0,"1815,060467",E-commerce,Galaxy S20 FE,Samsung
NT000351,,04/10/2022,1,"5095,978713","6412,450007","1316,471293",E-commerce,Galaxy S20 FE,Samsung
NT000352,,06/08/2022,1,"4829,412466","6063,962161","1234,549695",E-commerce,Galaxy S20 FE,Samsung
NT000353,,26/03/2022,1,"2882,550333","3534,150675","651,6003422",E-commerce,Galaxy S20 FE,Samsung
NT000354,,05/09/2022,1,"4444,256703","5213,128586","768,8718824",E-commerce,Galaxy S20 FE,Samsung
NT000355,,16/10/2022,1,"3674,648084","4214,627618","539,9795344",E-commerce,Galaxy S20 FE,Samsung
NT000356,,03/11/2022,1,"4142,364717","5245,124777","1102,76006",E-commerce,Galaxy S20 FE,Samsung
NT000357,,07/10/2022,1,"2466,832453","3111,151013","644,3185601",E-commerce,Galaxy S20 FE,Samsung
NT000358,,22/07/2022,1,"5080,980084","5880,106283","799,1261991",E-commerce,Galaxy S20 FE,Samsung
NT000359,,26/08/2022,1,"3799,282919","4217,253112","417,9701933",E-commerce,Galaxy S20 FE,Samsung
NT000360,,23/06/2022,1,"3669,136273","4112,989042","443,8527689",E-commerce,Galaxy S20 FE,Samsung
NT000361,,22/03/2022,1,"3977,12152","4385,360997","408,2394775",E-commerce,Galaxy S20 FE,Samsung
NT000362,,06/01/2022,1,"5872,481035","8107,171408","2234,690372",E-commerce,Galaxy S20 FE,Samsung
NT000363,,03/03/2022,1,"3585,177195","4965,072684","1379,895489",E-commerce,Galaxy S20 FE,Samsung
NT000364,,09/10/2022,1,"2331,782995","3209,785257","878,0022627",E-commerce,Galaxy S20 FE,Samsung
NT000365,,22/08/2022,1,"4027,074838","4851,72356","824,6487214",E-commerce,Galaxy S20 FE,Samsung
